shipment_id,origin,destination,distance_km,weather_condition,temperature,rainfall,traffic_level,route_type,package_weight,shipment_type,dispatch_time,historical_delay_rate,estimated_delivery_time,actual_delivery_time,delay_minutes,delay_status
472,Hyderabad,Mumbai,1969.6,Rain,17.3,14.8,High,Rural Road,10.6,Express,2025-09-09 09:00:00,0.46,2626.1,2738.6,112.5,Moderate Delay
473,Chennai,Bangalore,1637.0,Rain,41.0,11.5,Severe,Rural Road,27.1,Express,2025-08-02 08:00:00,0.55,2182.7,2393.8,211.1,Severe Delay
474,Chennai,Ahmedabad,739.5,Cloudy,42.8,1.4,Severe,Mixed,16.9,Same-Day,2025-07-11 07:00:00,0.42,986.0,1145.2,159.2,Moderate Delay
475,Ahmedabad,Bangalore,146.3,Clear,23.6,0.0,High,Mixed,14.5,Standard,2025-09-26 06:00:00,0.18,195.1,260.7,65.6,Moderate Delay
476,Bangalore,Kolkata,1741.7,Cloudy,16.3,4.7,Low,City Road,11.3,Standard,2025-08-22 07:00:00,0.2,2322.3,2410.7,88.4,Moderate Delay
477,Hyderabad,Chennai,472.1,Rain,12.0,27.5,High,Mixed,24.0,Same-Day,2025-07-23 09:00:00,0.1,629.5,704.3,74.8,Moderate Delay
478,Mumbai,Kolkata,1336.2,Rain,24.7,57.6,Severe,Mixed,20.8,Standard,2025-08-31 17:00:00,0.3,1781.6,1914.9,133.3,Moderate Delay
479,Hyderabad,Bangalore,1958.5,Rain,24.7,42.6,Low,Rural Road,45.5,Standard,2025-07-17 07:00:00,0.43,2611.3,2717.1,105.8,Moderate Delay
480,Bangalore,Kolkata,1400.4,Cloudy,12.9,4.3,Medium,City Road,24.3,Express,2025-11-30 19:00:00,0.04,1867.2,1928.1,60.9,Moderate Delay
481,Ahmedabad,Mumbai,1124.2,Fog,11.9,0.0,Low,Mixed,48.6,Standard,2025-11-28 11:00:00,0.31,1498.9,1564.3,65.4,Moderate Delay
482,Jaipur,Mumbai,1564.5,Cloudy,26.5,1.1,High,Rural Road,8.7,Same-Day,2025-12-30 14:00:00,0.2,2086.0,2169.7,83.7,Moderate Delay
483,Pune,Raipur,1784.5,Rain,26.1,58.2,Severe,Rural Road,49.2,Standard,2025-08-27 15:00:00,0.03,2379.3,2522.5,143.2,Moderate Delay
484,Ahmedabad,Pune,1219.7,Storm,25.0,7.0,Low,Highway,39.3,Same-Day,2025-12-06 17:00:00,0.01,1626.3,1712.1,85.8,Moderate Delay
485,Ahmedabad,Kolkata,790.6,Rain,41.1,72.0,Low,Mixed,17.1,Standard,2025-06-22 14:00:00,0.37,1054.1,1105.2,51.1,Slight Delay
486,Hyderabad,Kolkata,572.4,Rain,24.2,79.9,High,City Road,3.2,Standard,2025-09-22 13:00:00,0.35,763.2,862.7,99.5,Moderate Delay
487,Mumbai,Raipur,646.6,Fog,13.0,0.0,High,City Road,15.5,Same-Day,2025-01-14 21:00:00,0.58,862.1,983.3,121.2,Moderate Delay
488,Kolkata,Hyderabad,48.1,Heavy Rain,19.0,38.7,Severe,Mixed,34.8,Same-Day,2025-01-19 12:00:00,0.44,64.1,223.0,158.9,Moderate Delay
489,Hyderabad,Chennai,354.9,Fog,44.2,0.0,Severe,Rural Road,42.7,Same-Day,2025-06-03 11:00:00,0.3,473.2,617.0,143.8,Moderate Delay
490,Ahmedabad,Bangalore,357.5,Rain,23.5,31.0,Low,Mixed,21.9,Standard,2025-05-13 11:00:00,0.47,476.7,543.8,67.1,Moderate Delay
491,Hyderabad,Delhi,491.8,Cloudy,17.9,2.5,High,City Road,13.4,Same-Day,2025-06-07 19:00:00,0.01,655.7,736.4,80.7,Moderate Delay
492,Hyderabad,Pune,1174.5,Rain,35.1,32.9,High,Mixed,5.1,Standard,2025-08-29 07:00:00,0.27,1566.0,1702.1,136.1,Moderate Delay
493,Jaipur,Delhi,510.3,Heavy Rain,22.2,72.2,Medium,Highway,48.3,Same-Day,2025-07-15 22:00:00,0.27,680.4,738.0,57.6,Slight Delay
494,Kolkata,Raipur,645.0,Clear,27.2,0.0,Medium,City Road,16.4,Standard,2025-06-25 19:00:00,0.12,860.0,905.9,45.9,Slight Delay
495,Jaipur,Raipur,1967.0,Cloudy,18.5,3.4,High,City Road,35.9,Standard,2025-09-07 16:00:00,0.36,2622.7,2760.5,137.8,Moderate Delay
496,Bangalore,Pune,80.1,Fog,39.5,0.0,Low,Highway,23.3,Express,2025-05-21 12:00:00,0.13,106.8,128.6,21.8,Slight Delay
497,Bangalore,Chennai,1248.1,Heavy Rain,29.1,14.4,Low,City Road,14.8,Same-Day,2025-08-11 19:00:00,0.14,1664.1,1741.9,77.8,Moderate Delay
498,Pune,Raipur,1910.2,Heavy Rain,38.0,23.1,Severe,Highway,3.9,Standard,2025-10-01 12:00:00,0.19,2546.9,2732.4,185.5,Severe Delay
499,Hyderabad,Mumbai,732.2,Rain,34.1,28.5,Medium,Highway,3.5,Same-Day,2025-01-03 13:00:00,0.42,976.3,1053.4,77.1,Moderate Delay
500,Chennai,Pune,602.0,Rain,25.6,59.5,Medium,Highway,34.8,Express,2025-09-15 15:00:00,0.59,802.7,865.2,62.5,Moderate Delay
501,Bangalore,Delhi,1508.6,Clear,29.9,0.0,High,Rural Road,14.1,Express,2025-09-24 22:00:00,0.28,2011.5,2111.6,100.1,Moderate Delay
502,Hyderabad,Raipur,481.1,Fog,27.2,0.0,Medium,Rural Road,15.9,Express,2025-07-03 12:00:00,0.11,641.5,706.5,65.0,Moderate Delay
503,Bangalore,Raipur,1856.9,Clear,40.4,0.0,Medium,City Road,35.5,Same-Day,2025-03-09 12:00:00,0.06,2475.9,2536.6,60.7,Moderate Delay
504,Mumbai,Jaipur,1299.9,Cloudy,26.0,2.6,Low,Rural Road,2.2,Same-Day,2025-11-30 07:00:00,0.38,1733.2,1793.7,60.5,Moderate Delay
505,Pune,Kolkata,1389.5,Storm,37.8,17.3,Low,Highway,5.7,Same-Day,2025-02-25 06:00:00,0.09,1852.7,1953.2,100.5,Moderate Delay
506,Mumbai,Bangalore,1259.6,Heavy Rain,12.6,13.4,Severe,Mixed,2.9,Standard,2025-10-08 14:00:00,0.15,1679.5,1840.6,161.1,Moderate Delay
507,Raipur,Bangalore,1673.2,Cloudy,34.9,0.6,Low,Rural Road,36.9,Express,2025-12-05 09:00:00,0.17,2230.9,2295.1,64.2,Moderate Delay
508,Ahmedabad,Kolkata,1676.0,Storm,44.1,78.2,Medium,Mixed,3.7,Standard,2025-09-19 09:00:00,0.49,2234.7,2426.5,191.8,Severe Delay
509,Kolkata,Delhi,1825.4,Clear,25.4,0.0,Severe,City Road,2.5,Same-Day,2025-04-13 14:00:00,0.22,2433.9,2573.4,139.5,Moderate Delay
510,Ahmedabad,Chennai,1289.4,Rain,20.9,44.4,Severe,Rural Road,3.8,Standard,2025-01-21 21:00:00,0.58,1719.2,1900.5,181.3,Severe Delay
511,Chennai,Ahmedabad,1436.3,Rain,19.4,28.7,Medium,Highway,6.7,Standard,2025-12-10 08:00:00,0.39,1915.1,1999.6,84.5,Moderate Delay
512,Delhi,Ahmedabad,1348.1,Cloudy,38.7,1.2,Low,Highway,21.4,Same-Day,2025-02-21 14:00:00,0.5,1797.5,1829.6,32.1,Slight Delay
513,Chennai,Ahmedabad,1824.0,Rain,38.7,62.0,High,Mixed,2.9,Standard,2025-02-21 11:00:00,0.51,2432.0,2545.0,113.0,Moderate Delay
514,Mumbai,Hyderabad,392.7,Rain,16.4,9.3,High,Mixed,29.6,Same-Day,2025-03-01 09:00:00,0.5,523.6,605.9,82.3,Moderate Delay
515,Mumbai,Delhi,712.2,Cloudy,30.9,1.4,Medium,Rural Road,1.8,Express,2025-08-13 14:00:00,0.44,949.6,1009.6,60.0,Slight Delay
516,Delhi,Pune,277.1,Rain,33.7,69.4,Medium,Highway,48.2,Express,2025-07-24 20:00:00,0.38,369.5,420.2,50.7,Slight Delay
517,Kolkata,Raipur,1567.3,Fog,34.6,0.0,Severe,Mixed,41.8,Same-Day,2025-03-27 09:00:00,0.03,2089.7,2245.0,155.3,Moderate Delay
518,Bangalore,Mumbai,1430.2,Cloudy,16.2,1.2,Low,Mixed,25.0,Same-Day,2025-09-05 20:00:00,0.55,1906.9,1990.7,83.8,Moderate Delay
519,Bangalore,Raipur,310.3,Rain,32.6,22.5,Low,City Road,8.3,Express,2025-09-07 09:00:00,0.41,413.7,466.1,52.4,Slight Delay
520,Pune,Ahmedabad,1137.9,Clear,18.8,0.0,Low,Rural Road,45.8,Same-Day,2025-06-10 06:00:00,0.16,1517.2,1548.5,31.3,Slight Delay
521,Ahmedabad,Chennai,1937.3,Fog,25.9,0.0,High,Highway,47.3,Express,2025-12-05 13:00:00,0.41,2583.1,2674.1,91.0,Moderate Delay
522,Raipur,Hyderabad,1595.2,Fog,14.9,0.0,Severe,City Road,7.0,Same-Day,2025-11-10 07:00:00,0.39,2126.9,2285.4,158.5,Moderate Delay
523,Mumbai,Chennai,721.0,Storm,33.0,45.3,Severe,Mixed,34.0,Standard,2025-02-08 21:00:00,0.41,961.3,1172.9,211.6,Severe Delay
524,Hyderabad,Chennai,1983.4,Rain,15.7,56.9,High,Highway,33.9,Same-Day,2025-04-25 18:00:00,0.59,2644.5,2780.4,135.9,Moderate Delay
525,Pune,Chennai,1565.8,Clear,41.9,0.0,Severe,Mixed,19.5,Same-Day,2025-08-18 08:00:00,0.38,2087.7,2239.5,151.8,Moderate Delay
526,Raipur,Ahmedabad,520.6,Rain,12.4,25.1,Low,Mixed,45.7,Same-Day,2025-12-01 06:00:00,0.38,694.1,749.4,55.3,Slight Delay
527,Delhi,Raipur,1261.0,Heavy Rain,15.1,66.7,Low,Highway,12.1,Standard,2025-11-06 15:00:00,0.39,1681.3,1777.7,96.4,Moderate Delay
528,Ahmedabad,Jaipur,1998.7,Cloudy,17.4,1.3,Severe,Rural Road,33.3,Express,2025-01-28 13:00:00,0.58,2664.9,2835.1,170.2,Moderate Delay
529,Raipur,Hyderabad,1929.4,Storm,15.7,27.5,Severe,Rural Road,5.5,Same-Day,2025-08-20 09:00:00,0.16,2572.5,2766.2,193.7,Severe Delay
530,Delhi,Kolkata,349.7,Clear,44.5,0.0,High,Rural Road,41.1,Same-Day,2025-05-30 22:00:00,0.17,466.3,537.6,71.3,Moderate Delay
531,Hyderabad,Delhi,1003.6,Clear,39.5,0.0,Medium,Mixed,22.6,Standard,2025-07-29 09:00:00,0.43,1338.1,1402.3,64.2,Moderate Delay
532,Kolkata,Chennai,1992.5,Cloudy,26.6,4.1,Low,Mixed,21.9,Standard,2025-08-23 12:00:00,0.48,2656.7,2726.3,69.6,Moderate Delay
533,Hyderabad,Delhi,846.4,Heavy Rain,15.1,12.0,Low,Highway,1.3,Express,2025-08-23 22:00:00,0.52,1128.5,1221.1,92.6,Moderate Delay
534,Bangalore,Ahmedabad,304.9,Clear,10.3,0.0,Low,Mixed,1.5,Same-Day,2025-09-05 22:00:00,0.35,406.5,429.6,23.1,Slight Delay
535,Bangalore,Chennai,896.5,Fog,35.6,0.0,Medium,Highway,12.0,Express,2025-12-03 16:00:00,0.49,1195.3,1278.2,82.9,Moderate Delay
536,Ahmedabad,Pune,1736.7,Heavy Rain,33.4,38.6,Medium,Rural Road,24.7,Express,2025-06-25 15:00:00,0.12,2315.6,2428.0,112.4,Moderate Delay
537,Raipur,Bangalore,1140.4,Cloudy,42.1,4.0,Severe,Rural Road,22.8,Same-Day,2025-10-08 16:00:00,0.43,1520.5,1646.4,125.9,Moderate Delay
538,Ahmedabad,Chennai,1905.5,Cloudy,28.7,3.2,Medium,Rural Road,27.4,Same-Day,2025-06-26 10:00:00,0.08,2540.7,2611.3,70.6,Moderate Delay
539,Bangalore,Jaipur,456.5,Storm,15.8,35.5,High,Highway,46.4,Express,2025-10-15 21:00:00,0.43,608.7,760.9,152.2,Moderate Delay
540,Jaipur,Pune,236.8,Fog,43.8,0.0,High,Mixed,9.2,Standard,2025-09-25 09:00:00,0.39,315.7,413.3,97.6,Moderate Delay
541,Mumbai,Raipur,1787.1,Cloudy,12.8,1.7,Low,Highway,12.8,Standard,2025-05-17 11:00:00,0.59,2382.8,2432.6,49.8,Slight Delay
542,Kolkata,Hyderabad,484.0,Cloudy,10.7,4.4,Low,Rural Road,48.3,Standard,2025-10-05 07:00:00,0.2,645.3,671.0,25.7,Slight Delay
543,Hyderabad,Ahmedabad,336.1,Clear,37.7,0.0,Medium,Mixed,31.0,Standard,2025-09-19 15:00:00,0.03,448.1,487.3,39.2,Slight Delay
544,Mumbai,Raipur,824.8,Heavy Rain,37.0,41.3,Severe,Rural Road,44.9,Same-Day,2025-01-28 06:00:00,0.54,1099.7,1285.2,185.5,Severe Delay
545,Kolkata,Chennai,1614.1,Storm,39.8,26.7,Severe,City Road,47.6,Same-Day,2025-12-27 17:00:00,0.03,2152.1,2345.2,193.1,Severe Delay
546,Jaipur,Ahmedabad,1338.6,Fog,38.8,0.0,Medium,City Road,1.2,Express,2025-08-18 11:00:00,0.33,1784.8,1891.6,106.8,Moderate Delay
547,Delhi,Chennai,1535.0,Cloudy,27.0,0.7,Low,Mixed,32.6,Standard,2025-08-08 14:00:00,0.1,2046.7,2113.7,67.0,Moderate Delay
548,Ahmedabad,Kolkata,521.3,Cloudy,38.1,4.1,Medium,Rural Road,49.0,Standard,2025-06-19 20:00:00,0.3,695.1,752.2,57.1,Slight Delay
549,Bangalore,Mumbai,197.2,Cloudy,24.6,4.3,High,Highway,42.9,Same-Day,2025-11-12 15:00:00,0.06,262.9,300.4,37.5,Slight Delay
550,Raipur,Jaipur,725.0,Rain,37.6,22.5,Low,Rural Road,32.1,Same-Day,2025-04-23 11:00:00,0.14,966.7,1011.8,45.1,Slight Delay
551,Ahmedabad,Delhi,271.7,Storm,25.0,17.1,Medium,Mixed,35.2,Same-Day,2025-10-02 18:00:00,0.46,362.3,469.0,106.7,Moderate Delay
552,Delhi,Pune,800.5,Cloudy,39.7,2.5,Medium,Rural Road,23.9,Express,2025-07-04 15:00:00,0.29,1067.3,1137.4,70.1,Moderate Delay
553,Chennai,Jaipur,1154.1,Heavy Rain,18.3,64.5,Low,Highway,24.6,Same-Day,2025-06-27 20:00:00,0.2,1538.8,1570.9,32.1,Slight Delay
554,Chennai,Kolkata,89.6,Clear,21.3,0.0,High,Mixed,27.4,Standard,2025-07-17 14:00:00,0.33,119.5,183.8,64.3,Moderate Delay
555,Ahmedabad,Kolkata,502.1,Clear,26.0,0.0,High,Mixed,38.1,Express,2025-01-23 15:00:00,0.12,669.5,707.5,38.0,Slight Delay
556,Chennai,Pune,1489.2,Storm,11.8,68.9,Low,Highway,10.3,Standard,2025-10-03 06:00:00,0.52,1985.6,2113.8,128.2,Moderate Delay
557,Delhi,Kolkata,373.5,Fog,27.3,0.0,Medium,Mixed,4.6,Standard,2025-04-16 19:00:00,0.12,498.0,591.9,93.9,Moderate Delay
558,Delhi,Chennai,1324.6,Clear,44.6,0.0,Severe,Rural Road,13.6,Standard,2025-02-14 08:00:00,0.4,1766.1,1898.6,132.5,Moderate Delay
559,Mumbai,Chennai,1577.7,Rain,27.8,27.5,Low,City Road,8.0,Express,2025-07-28 18:00:00,0.17,2103.6,2159.1,55.5,Slight Delay
560,Raipur,Pune,1867.7,Heavy Rain,32.3,65.1,High,Highway,23.6,Express,2025-12-11 09:00:00,0.22,2490.3,2598.2,107.9,Moderate Delay
561,Ahmedabad,Mumbai,985.0,Fog,31.9,0.0,Low,Highway,47.3,Same-Day,2025-02-07 17:00:00,0.35,1313.3,1367.5,54.2,Slight Delay
562,Ahmedabad,Delhi,289.4,Rain,39.3,16.6,High,Highway,15.4,Express,2025-08-13 18:00:00,0.15,385.9,461.6,75.7,Moderate Delay
563,Pune,Mumbai,130.7,Heavy Rain,15.0,9.0,Medium,City Road,31.5,Standard,2025-07-20 15:00:00,0.03,174.3,261.7,87.4,Moderate Delay
564,Bangalore,Hyderabad,1195.1,Fog,17.4,0.0,High,Highway,6.3,Same-Day,2025-10-12 10:00:00,0.58,1593.5,1683.2,89.7,Moderate Delay
565,Delhi,Mumbai,308.3,Clear,34.4,0.0,Severe,Highway,32.3,Express,2025-04-18 17:00:00,0.47,411.1,530.0,118.9,Moderate Delay
566,Chennai,Raipur,1841.7,Fog,32.8,0.0,Medium,City Road,5.0,Standard,2025-04-24 14:00:00,0.57,2455.6,2584.1,128.5,Moderate Delay
567,Chennai,Delhi,264.2,Cloudy,24.0,1.8,Low,Mixed,38.8,Same-Day,2025-10-09 08:00:00,0.48,352.3,387.3,35.0,Slight Delay
568,Kolkata,Delhi,746.1,Rain,13.7,52.1,Low,City Road,6.5,Same-Day,2025-10-25 21:00:00,0.59,994.8,1093.5,98.7,Moderate Delay
569,Hyderabad,Pune,365.5,Cloudy,23.3,4.2,Medium,Highway,32.4,Express,2025-11-14 08:00:00,0.39,487.3,544.4,57.1,Slight Delay
570,Chennai,Pune,1221.3,Heavy Rain,15.8,64.8,Severe,Rural Road,36.1,Same-Day,2025-12-04 15:00:00,0.05,1628.4,1763.8,135.4,Moderate Delay
571,Jaipur,Bangalore,1108.8,Storm,31.7,54.8,High,Rural Road,41.9,Express,2025-03-28 06:00:00,0.13,1478.4,1634.9,156.5,Moderate Delay
572,Hyderabad,Chennai,212.8,Cloudy,20.6,3.2,Severe,Rural Road,17.8,Express,2025-03-10 16:00:00,0.56,283.7,410.9,127.2,Moderate Delay
573,Raipur,Ahmedabad,741.8,Heavy Rain,39.5,19.6,High,Rural Road,41.4,Express,2025-10-10 09:00:00,0.34,989.1,1142.2,153.1,Moderate Delay
574,Bangalore,Delhi,915.4,Rain,15.0,34.2,Medium,City Road,47.6,Express,2025-11-17 08:00:00,0.19,1220.5,1300.5,80.0,Moderate Delay
575,Delhi,Mumbai,636.8,Storm,37.4,38.2,Low,Mixed,24.5,Same-Day,2025-04-19 07:00:00,0.47,849.1,948.3,99.2,Moderate Delay
576,Ahmedabad,Kolkata,1058.0,Storm,33.5,25.2,Severe,City Road,14.2,Express,2025-07-20 13:00:00,0.56,1410.7,1650.7,240.0,Severe Delay
577,Jaipur,Kolkata,1028.8,Cloudy,29.1,1.8,Severe,Highway,4.5,Express,2025-07-06 22:00:00,0.12,1371.7,1467.0,95.3,Moderate Delay
578,Mumbai,Kolkata,1027.2,Storm,18.5,60.9,Medium,City Road,8.8,Express,2025-03-23 11:00:00,0.11,1369.6,1511.9,142.3,Moderate Delay
579,Jaipur,Bangalore,1652.5,Fog,24.6,0.0,Severe,Rural Road,4.1,Standard,2025-04-23 21:00:00,0.16,2203.3,2370.8,167.5,Moderate Delay
580,Chennai,Delhi,1843.1,Rain,43.9,45.5,High,City Road,23.2,Standard,2025-12-09 12:00:00,0.57,2457.5,2584.1,126.6,Moderate Delay
581,Ahmedabad,Hyderabad,921.8,Heavy Rain,30.4,31.8,Severe,Mixed,8.6,Standard,2025-01-21 16:00:00,0.3,1229.1,1439.1,210.0,Severe Delay
582,Delhi,Jaipur,1936.4,Fog,41.1,0.0,High,Rural Road,30.2,Same-Day,2025-10-06 11:00:00,0.32,2581.9,2711.3,129.4,Moderate Delay
583,Pune,Raipur,1490.4,Rain,19.8,47.4,Low,Rural Road,4.9,Express,2025-04-25 22:00:00,0.25,1987.2,2056.1,68.9,Moderate Delay
584,Pune,Hyderabad,1716.8,Rain,33.9,71.2,Severe,Mixed,10.6,Same-Day,2025-01-04 22:00:00,0.52,2289.1,2441.9,152.8,Moderate Delay
585,Bangalore,Ahmedabad,1882.6,Cloudy,11.7,1.8,Medium,Highway,42.9,Same-Day,2025-11-26 14:00:00,0.24,2510.1,2593.1,83.0,Moderate Delay
586,Chennai,Bangalore,941.2,Cloudy,12.0,1.3,Medium,Rural Road,22.1,Same-Day,2025-03-02 13:00:00,0.09,1254.9,1308.7,53.8,Slight Delay
587,Pune,Hyderabad,1883.7,Fog,40.9,0.0,Low,Mixed,26.0,Same-Day,2025-09-03 21:00:00,0.46,2511.6,2602.0,90.4,Moderate Delay
588,Chennai,Bangalore,1938.3,Fog,26.9,0.0,Severe,Highway,3.6,Standard,2025-01-23 10:00:00,0.33,2584.4,2807.3,222.9,Severe Delay
589,Jaipur,Bangalore,398.7,Cloudy,31.5,2.0,Low,City Road,2.5,Standard,2025-03-27 14:00:00,0.21,531.6,584.5,52.9,Slight Delay
590,Bangalore,Jaipur,159.7,Heavy Rain,42.7,62.5,Low,Rural Road,33.1,Standard,2025-04-21 20:00:00,0.49,212.9,306.5,93.6,Moderate Delay
591,Jaipur,Raipur,251.8,Heavy Rain,28.5,14.5,Medium,City Road,29.8,Express,2025-11-04 10:00:00,0.29,335.7,423.8,88.1,Moderate Delay
592,Jaipur,Bangalore,1435.1,Storm,31.1,27.4,High,City Road,20.8,Same-Day,2025-12-18 16:00:00,0.13,1913.5,2044.4,130.9,Moderate Delay
593,Raipur,Delhi,1565.3,Cloudy,17.0,0.4,Severe,Mixed,24.0,Standard,2025-02-25 06:00:00,0.01,2087.1,2239.0,151.9,Moderate Delay
594,Chennai,Jaipur,1570.0,Storm,39.6,64.9,Severe,City Road,25.7,Same-Day,2025-02-19 11:00:00,0.14,2093.3,2312.5,219.2,Severe Delay
595,Raipur,Mumbai,439.4,Storm,37.7,19.0,Low,Highway,3.8,Express,2025-12-04 10:00:00,0.6,585.9,688.7,102.8,Moderate Delay
596,Jaipur,Ahmedabad,1778.8,Clear,26.1,0.0,Severe,Mixed,30.5,Express,2025-01-23 22:00:00,0.11,2371.7,2505.2,133.5,Moderate Delay
597,Pune,Chennai,1127.1,Heavy Rain,27.6,15.8,Severe,Rural Road,22.4,Same-Day,2025-12-23 09:00:00,0.2,1502.8,1671.0,168.2,Moderate Delay
598,Pune,Bangalore,1514.8,Rain,43.4,23.0,Severe,City Road,16.5,Standard,2025-05-26 19:00:00,0.11,2019.7,2164.1,144.4,Moderate Delay
599,Kolkata,Chennai,785.2,Clear,24.7,0.0,Low,Highway,28.3,Same-Day,2025-01-04 18:00:00,0.0,1046.9,1048.0,1.1,On Time
600,Chennai,Pune,1146.5,Heavy Rain,40.9,75.6,High,Highway,37.1,Standard,2025-08-07 14:00:00,0.05,1528.7,1616.8,88.1,Moderate Delay
601,Kolkata,Jaipur,1585.2,Heavy Rain,25.9,27.6,High,Rural Road,19.5,Same-Day,2025-07-23 12:00:00,0.51,2113.6,2278.7,165.1,Moderate Delay
602,Pune,Jaipur,1200.9,Storm,22.8,65.5,Severe,City Road,26.4,Express,2025-10-14 21:00:00,0.07,1601.2,1807.2,206.0,Severe Delay
603,Kolkata,Hyderabad,1532.9,Storm,18.7,7.7,High,Mixed,5.5,Same-Day,2025-03-12 09:00:00,0.44,2043.9,2187.9,144.0,Moderate Delay
604,Chennai,Ahmedabad,1090.8,Fog,38.6,0.0,Medium,Highway,9.0,Standard,2025-09-18 18:00:00,0.48,1454.4,1516.2,61.8,Moderate Delay
605,Hyderabad,Jaipur,1338.2,Storm,28.4,53.0,Low,City Road,17.2,Express,2025-11-22 06:00:00,0.54,1784.3,1957.6,173.3,Moderate Delay
606,Delhi,Chennai,550.0,Heavy Rain,24.4,72.4,Severe,Highway,44.9,Standard,2025-05-15 13:00:00,0.41,733.3,873.8,140.5,Moderate Delay
607,Hyderabad,Delhi,494.0,Storm,24.6,23.8,Low,Mixed,16.4,Express,2025-11-11 22:00:00,0.08,658.7,741.9,83.2,Moderate Delay
608,Kolkata,Mumbai,677.4,Cloudy,36.1,0.8,Severe,Mixed,7.0,Standard,2025-04-14 22:00:00,0.21,903.2,1014.2,111.0,Moderate Delay
609,Kolkata,Chennai,1274.9,Clear,18.9,0.0,Medium,City Road,28.0,Same-Day,2025-01-19 17:00:00,0.32,1699.9,1776.5,76.6,Moderate Delay
610,Chennai,Mumbai,164.0,Cloudy,37.7,1.1,Low,Rural Road,34.0,Express,2025-06-30 18:00:00,0.48,218.7,255.0,36.3,Slight Delay
611,Pune,Chennai,603.5,Storm,30.0,60.9,Low,Highway,19.3,Standard,2025-10-09 15:00:00,0.18,804.7,905.8,101.1,Moderate Delay
612,Ahmedabad,Hyderabad,1651.0,Rain,40.0,36.1,High,City Road,4.9,Same-Day,2025-04-10 20:00:00,0.26,2201.3,2296.2,94.9,Moderate Delay
613,Pune,Mumbai,866.8,Rain,30.9,11.7,Medium,Mixed,17.2,Same-Day,2025-02-24 08:00:00,0.05,1155.7,1205.8,50.1,Slight Delay
614,Ahmedabad,Kolkata,1135.1,Rain,43.0,5.3,Low,Rural Road,12.3,Same-Day,2025-10-22 14:00:00,0.56,1513.5,1594.4,80.9,Moderate Delay
615,Raipur,Pune,1989.2,Storm,33.8,10.6,Severe,City Road,49.6,Express,2025-08-23 20:00:00,0.24,2652.3,2851.6,199.3,Severe Delay
616,Jaipur,Mumbai,1153.2,Heavy Rain,45.0,26.5,Low,Rural Road,14.4,Standard,2025-07-15 13:00:00,0.1,1537.6,1630.6,93.0,Moderate Delay
617,Chennai,Pune,479.9,Heavy Rain,40.8,29.6,High,Highway,6.1,Same-Day,2025-05-15 13:00:00,0.52,639.9,759.3,119.4,Moderate Delay
618,Kolkata,Delhi,128.4,Heavy Rain,22.4,41.1,High,Highway,25.4,Same-Day,2025-04-02 21:00:00,0.19,171.2,279.9,108.7,Moderate Delay
619,Hyderabad,Pune,1110.1,Cloudy,38.9,1.5,High,City Road,20.2,Same-Day,2025-12-16 12:00:00,0.19,1480.1,1553.4,73.3,Moderate Delay
620,Raipur,Chennai,238.9,Cloudy,17.7,2.3,Medium,Rural Road,21.9,Standard,2025-04-28 12:00:00,0.48,318.5,393.1,74.6,Moderate Delay
621,Chennai,Pune,123.1,Cloudy,10.4,4.0,Low,Highway,24.1,Standard,2025-12-13 21:00:00,0.08,164.1,180.5,16.4,Slight Delay
622,Jaipur,Mumbai,1932.2,Storm,17.5,65.8,Low,Mixed,10.3,Express,2025-11-14 16:00:00,0.13,2576.3,2692.1,115.8,Moderate Delay
623,Raipur,Kolkata,1838.7,Heavy Rain,41.6,16.7,Medium,Rural Road,18.6,Express,2025-04-24 10:00:00,0.37,2451.6,2555.1,103.5,Moderate Delay
624,Mumbai,Jaipur,908.7,Heavy Rain,31.0,10.4,Severe,Highway,11.7,Same-Day,2025-06-27 18:00:00,0.56,1211.6,1391.1,179.5,Moderate Delay
625,Bangalore,Ahmedabad,564.9,Clear,41.8,0.0,Severe,Rural Road,31.9,Same-Day,2025-01-05 06:00:00,0.04,753.2,858.1,104.9,Moderate Delay
626,Chennai,Raipur,1164.6,Storm,43.5,42.7,Low,Rural Road,4.6,Express,2025-11-10 14:00:00,0.37,1552.8,1653.0,100.2,Moderate Delay
627,Bangalore,Jaipur,1542.2,Rain,19.3,62.5,Medium,Rural Road,10.7,Express,2025-11-10 16:00:00,0.19,2056.3,2140.7,84.4,Moderate Delay
628,Hyderabad,Bangalore,932.0,Heavy Rain,41.5,74.8,Severe,City Road,19.5,Express,2025-12-25 17:00:00,0.3,1242.7,1422.1,179.4,Moderate Delay
629,Hyderabad,Raipur,474.8,Rain,17.0,7.8,Severe,City Road,32.3,Same-Day,2025-03-09 13:00:00,0.16,633.1,754.1,121.0,Moderate Delay
630,Delhi,Hyderabad,417.1,Cloudy,17.5,1.5,Severe,Mixed,9.1,Standard,2025-03-16 10:00:00,0.23,556.1,676.3,120.2,Moderate Delay
631,Raipur,Mumbai,436.3,Cloudy,29.8,3.1,Severe,Mixed,2.5,Standard,2025-11-19 22:00:00,0.24,581.7,692.8,111.1,Moderate Delay
632,Ahmedabad,Hyderabad,1896.3,Heavy Rain,26.6,28.8,High,Rural Road,38.4,Same-Day,2025-10-18 07:00:00,0.3,2528.4,2676.4,148.0,Moderate Delay
